"filename", "language", "TypeScript", "TypeScript React", "comment", "blank", "total"
"/Users/chris/Keplux/flamingo/src/components/auth/IDScanner.tsx", "TypeScript React", 0, 74, 2, 11, 87
"/Users/chris/Keplux/flamingo/src/components/camera/AutoFocusToggle.tsx", "TypeScript React", 0, 38, 0, 5, 43
"/Users/chris/Keplux/flamingo/src/components/camera/BoundingBoxToggle.tsx", "TypeScript React", 0, 31, 0, 5, 36
"/Users/chris/Keplux/flamingo/src/components/camera/CameraActionBar.tsx", "TypeScript React", 0, 66, 0, 6, 72
"/Users/chris/Keplux/flamingo/src/components/camera/CameraSettings.tsx", "TypeScript React", 0, 66, 4, 9, 79
"/Users/chris/Keplux/flamingo/src/components/camera/CameraTypeToggle.tsx", "TypeScript React", 0, 26, 0, 5, 31
"/Users/chris/Keplux/flamingo/src/components/camera/FlashToggle.tsx", "TypeScript React", 0, 26, 0, 5, 31
"/Users/chris/Keplux/flamingo/src/components/camera/FocusSlider.tsx", "TypeScript React", 0, 61, 0, 5, 66
"/Users/chris/Keplux/flamingo/src/components/camera/IDBoundingBox.tsx", "TypeScript React", 0, 70, 0, 4, 74
"/Users/chris/Keplux/flamingo/src/components/core/AlbumViewer.tsx", "TypeScript React", 0, 110, 0, 8, 118
"/Users/chris/Keplux/flamingo/src/components/core/ArrowNavigator/ArrowNavigator.default.tsx", "TypeScript React", 0, 59, 11, 9, 79
"/Users/chris/Keplux/flamingo/src/components/core/ArrowNavigator/ArrowNavigator.styles.tsx", "TypeScript React", 0, 16, 0, 3, 19
"/Users/chris/Keplux/flamingo/src/components/core/ArrowNavigator/ArrowNavigator.tsx", "TypeScript React", 0, 18, 9, 5, 32
"/Users/chris/Keplux/flamingo/src/components/core/ArrowNavigator/ArrowNavigator.type.ts", "TypeScript", 17, 0, 1, 3, 21
"/Users/chris/Keplux/flamingo/src/components/core/Button/Button.spec.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/chris/Keplux/flamingo/src/components/core/Button/Button.tsx", "TypeScript React", 0, 51, 0, 3, 54
"/Users/chris/Keplux/flamingo/src/components/core/Button/Button.type.tsx", "TypeScript React", 0, 0, 0, 1, 1
"/Users/chris/Keplux/flamingo/src/components/core/Camera.tsx", "TypeScript React", 0, 130, 8, 15, 153
"/Users/chris/Keplux/flamingo/src/components/core/CameraSettingsButton.tsx", "TypeScript React", 0, 27, 0, 4, 31
"/Users/chris/Keplux/flamingo/src/components/core/Header.tsx", "TypeScript React", 0, 44, 0, 6, 50
"/Users/chris/Keplux/flamingo/src/components/core/IconButton.tsx", "TypeScript React", 0, 41, 0, 4, 45
